plan_id,timestamp,symbol,regime,agent,action,confidence,target_weight,reason,is_winner
,,AAPL,bull,,BUY,0.7,0.1,Buffett screen passed (stable + trend + near-high),
,,MSFT,bull,,HOLD,0.0,0.0,No agent passed min_score,
,,NVDA,bull,,BUY,0.7,0.1,Buffett screen passed (stable + trend + near-high),
eaabb6be,2026-03-15T14:58:39+00:00,AAPL,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
eaabb6be,2026-03-15T14:58:39+00:00,AAPL,choppy,BuffettAgent,BUY,0.7,0.1,Buffett screen passed (stable + trend + near-high),
eaabb6be,2026-03-15T14:58:39+00:00,AAPL,choppy,CitadelAgent,HOLD,0.3,0.0,No Citadel momentum setup,
eaabb6be,2026-03-15T14:58:39+00:00,MSFT,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
eaabb6be,2026-03-15T14:58:39+00:00,MSFT,choppy,BuffettAgent,HOLD,0.55,0.0,Buffett screen not strong enough,
eaabb6be,2026-03-15T14:58:39+00:00,MSFT,choppy,CitadelAgent,HOLD,0.1,0.0,No Citadel momentum setup,
eaabb6be,2026-03-15T14:58:40+00:00,SPY,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
eaabb6be,2026-03-15T14:58:40+00:00,SPY,choppy,BuffettAgent,BUY,0.9,0.1,Buffett screen passed (stable + trend + near-high),
eaabb6be,2026-03-15T14:58:40+00:00,SPY,choppy,CitadelAgent,HOLD,0.3,0.0,No Citadel momentum setup,
9867d5a3,2026-03-15T15:07:13+00:00,AAPL,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
9867d5a3,2026-03-15T15:07:13+00:00,AAPL,choppy,BuffettAgent,BUY,0.7,0.1,Buffett screen passed (stable + trend + near-high),
9867d5a3,2026-03-15T15:07:13+00:00,AAPL,choppy,CitadelAgent,HOLD,0.3,0.0,No Citadel momentum setup,
9867d5a3,2026-03-15T15:07:13+00:00,MSFT,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
9867d5a3,2026-03-15T15:07:13+00:00,MSFT,choppy,BuffettAgent,HOLD,0.55,0.0,Buffett screen not strong enough,
9867d5a3,2026-03-15T15:07:13+00:00,MSFT,choppy,CitadelAgent,HOLD,0.1,0.0,No Citadel momentum setup,
9867d5a3,2026-03-15T15:07:13+00:00,SPY,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
9867d5a3,2026-03-15T15:07:13+00:00,SPY,choppy,BuffettAgent,BUY,0.9,0.1,Buffett screen passed (stable + trend + near-high),
9867d5a3,2026-03-15T15:07:13+00:00,SPY,choppy,CitadelAgent,HOLD,0.3,0.0,No Citadel momentum setup,
f6f248a2,2026-03-15T15:11:29+00:00,AAPL,choppy,DummyHoldAgent,HOLD,0.0,0.0,Baseline hold,
f6f248a2,2026-03-15T15:11:29+00:00,AAPL,choppy,BuffettAgent,BUY,0.7,0.1,Buffett screen passed (stable + trend + near-high),
f6f248a2,2026-03-15T15:11:29+00:00,AAPL,choppy,CitadelAgent,HOLD,0.3,0.0,No Citadel momentum setup,
